Model,Target,Metric,Score
arima,Sign,Precision,0.5465
arima,Sign,Recall,0.6351
arima,Sign,F1,0.5875
arima,Return,MAE,0.0089
arima,Return,RMSE,0.0147
arima,Return,MASE,0.4939
arima,Return,RMSSE,0.5549
arima,Price,SMAPE,1.6975
exponential_smoothing,Sign,Precision,0.5846
exponential_smoothing,Sign,Recall,0.5135
exponential_smoothing,Sign,F1,0.5468
exponential_smoothing,Return,MAE,0.0088
exponential_smoothing,Return,RMSE,0.0146
exponential_smoothing,Return,MASE,0.4878
exponential_smoothing,Return,RMSSE,0.5485
exponential_smoothing,Price,SMAPE,1.5018
LGBMRegressor,Sign,Precision,0.4779
LGBMRegressor,Sign,Recall,0.7297
LGBMRegressor,Sign,F1,0.5775
LGBMRegressor,Return,MAE,0.0095
LGBMRegressor,Return,RMSE,0.0156
LGBMRegressor,Return,MASE,0.5273
LGBMRegressor,Return,RMSSE,0.5855
LGBMRegressor,Price,SMAPE,2.01
lstm,Sign,Precision,1.0
lstm,Sign,Recall,0.0135
lstm,Sign,F1,0.0267
lstm,Return,MAE,0.014
lstm,Return,RMSE,0.0184
lstm,Return,MASE,0.7731
lstm,Return,RMSSE,0.6923
lstm,Price,SMAPE,5.1805
moving_average,Sign,Precision,0.5281
moving_average,Sign,Recall,0.6351
moving_average,Sign,F1,0.5767
moving_average,Return,MAE,0.0089
moving_average,Return,RMSE,0.0147
moving_average,Return,MASE,0.4898
moving_average,Return,RMSSE,0.5532
moving_average,Price,SMAPE,1.6863
moving_average_recursive,Sign,Precision,0.5581
moving_average_recursive,Sign,Recall,0.6486
moving_average_recursive,Sign,F1,0.6
moving_average_recursive,Return,MAE,0.0089
moving_average_recursive,Return,RMSE,0.0147
moving_average_recursive,Return,MASE,0.4898
moving_average_recursive,Return,RMSSE,0.5533
moving_average_recursive,Price,SMAPE,1.6982
prophet,Sign,Precision,0.5
prophet,Sign,Recall,0.6216
prophet,Sign,F1,0.5542
prophet,Return,MAE,0.0114
prophet,Return,RMSE,0.0173
prophet,Return,MASE,0.6301
prophet,Return,RMSSE,0.6511
prophet,Price,SMAPE,2.8881
XGBRegressor,Sign,Precision,0.4526
XGBRegressor,Sign,Recall,0.5811
XGBRegressor,Sign,F1,0.5089
XGBRegressor,Return,MAE,0.0103
XGBRegressor,Return,RMSE,0.0162
XGBRegressor,Return,MASE,0.5726
XGBRegressor,Return,RMSSE,0.6112
XGBRegressor,Price,SMAPE,2.2863
