Model;LookBackWindowSize;Normalization;MAE;F1-Score
moving_average_recursive;25;0;0.013856646276223192;0.4248585175686264
moving_average_recursive;10;0;0.014532135504101736;0.43924358293553795
moving_average_recursive;65;0;0.012220006932277847;0.44455202560567464
moving_average_recursive;15;0;0.01459904135530832;0.45775099014451975
moving_average_recursive;20;1;0.013638794066069953;0.45966203701438196
moving_average_recursive;520;1;0.013324727357113035;0.46091360787928015
moving_average_recursive;260;1;0.011946900323153925;0.46859284223423125
moving_average_recursive;65;1;0.013316215968273227;0.4719305289611966
moving_average_recursive;10;1;0.012820433029390099;0.4733888746080643
moving_average_recursive;20;0;0.012686512812477917;0.47496833257148774
moving_average_recursive;25;1;0.011947219277539289;0.47656414362779104
moving_average_recursive;780;0;0.01397845937334241;0.484892011191532
moving_average_recursive;260;0;0.013715539425386511;0.48492387178526414
moving_average_recursive;15;1;0.012257719259661418;0.48531788045057567
moving_average_recursive;1300;0;0.01414774867025481;0.4919052532362153
moving_average_recursive;520;0;0.012488387594345085;0.4994381299850439
moving_average_recursive;1040;0;0.013581026289120638;0.5045876158753894
moving_average_recursive;1040;1;0.01389960037009278;0.5118820273956878
moving_average_recursive;1300;1;0.012490931291896028;0.524693506877015
moving_average_recursive;780;1;0.012469841564510501;0.5253606268286408
