Model;BatchSize;Epochs;LookBackWindowSize;MAE;RMSE;F1-Score;Activation;Dropout
simple_regression_net;32;10;1040;0.015061330876753496;0.020223857971827134;0.42200259218030156;linear;0.0
simple_regression_net;32;10;780;0.014315052055113506;0.019445950688085367;0.5067125836530266;linear;0.0
simple_regression_net;32;10;520;0.013695639609524463;0.018323997133860983;0.48429853582922405;linear;0.0
simple_regression_net;32;10;260;0.014702260855605807;0.019797735346778665;0.4910663248026525;linear;0.0
simple_regression_net;32;10;65;0.017720687068913773;0.02309094925106011;0.5357913228303067;linear;0.0
simple_regression_net;32;10;22;0.014217085565653756;0.019132661734228226;0.4976471530328096;linear;0.0
simple_regression_net;32;10;10;0.01394296148764774;0.01939264923211933;0.495854190909254;linear;0.0
simple_regression_net;32;10;5;0.014398544152420539;0.019501260514596257;0.4522399117437026;linear;0.0
simple_regression_net;32;10;1040;0.013927246637125985;0.019685822066409443;0.521543048933224;relu;0.0
simple_regression_net;32;10;780;0.014137031445887476;0.01956214576366229;0.37653252372390894;relu;0.0
simple_regression_net;32;10;520;0.012986532362546398;0.018019805028918853;0.4675431185188724;relu;0.0
simple_regression_net;32;10;260;0.01337777390135012;0.018630429266532782;0.42639864796607696;relu;0.0
simple_regression_net;32;10;65;0.013219669398800118;0.018482802345075353;0.4704544709993775;relu;0.0
simple_regression_net;32;10;22;0.012851681975021767;0.017452629888614225;0.5400175698861134;relu;0.0
simple_regression_net;32;10;10;0.014044911712188475;0.019322111712381837;0.5405161859555186;relu;0.0
simple_regression_net;32;10;5;0.013262972403518775;0.018384892022948948;0.45484634388797923;relu;0.0
simple_regression_net;32;10;1040;0.01577381473930223;0.021422743717818972;0.5157095894324025;linear;0.3
simple_regression_net;32;10;780;0.01532869937053243;0.021080761256693524;0.46368279212873625;linear;0.3
simple_regression_net;32;10;520;0.014742923207514955;0.019853305122919107;0.4042441372401535;linear;0.3
simple_regression_net;32;10;260;0.014110544918825114;0.0193269030623368;0.46862618381754934;linear;0.3
simple_regression_net;32;10;65;0.017374210899861166;0.023028776155362873;0.43459869173791355;linear;0.3
simple_regression_net;32;10;22;0.014083922648824923;0.019063451695345766;0.547857114000399;linear;0.3
simple_regression_net;32;10;10;0.014542055395461082;0.019559424564435976;0.49550664228597;linear;0.3
simple_regression_net;32;10;5;0.013532692214442638;0.018284639019384777;0.4225652916983105;linear;0.3
simple_regression_net;32;10;1040;0.01435944496616609;0.019985648681741318;0.5375291570027831;relu;0.3
simple_regression_net;32;10;780;0.012070934881413992;0.01703037818632464;0.503487570674154;relu;0.3
simple_regression_net;32;10;520;0.014412221959058493;0.02018030700331209;0.47206305294531203;relu;0.3
simple_regression_net;32;10;260;0.013783103013200942;0.019398719911501872;0.5008499220927951;relu;0.3
simple_regression_net;32;10;65;0.013845757104493824;0.018864383029144914;0.2708110814085558;relu;0.3
simple_regression_net;32;10;22;0.013068786411112341;0.018459821356683243;0.4620514615985231;relu;0.3
simple_regression_net;32;10;10;0.013516689111438988;0.018730372261738563;0.4404146066288222;relu;0.3
simple_regression_net;32;10;5;0.013985154328974543;0.019258923487825385;0.4909054950988719;relu;0.3
